2025-04-18 16:49:46.979899 | ENCRYPT | ../storage/downloads/encrypto-app/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc
2025-04-18 16:54:22.344749 | ENCRYPT | ../storage/downloads/encrypto-app/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc
2025-04-18 16:54:51.361443 | DECRYPT | Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv
2025-04-18 16:58:39.126666 | ENCRYPT | ../storage/downloads/encrypto-app/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc
2025-04-18 16:59:03.999537 | DECRYPT | Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv
2025-04-18 17:01:55.790001 | ENCRYPT | ../storage/downloads/encrypto-app/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv | aes-gcm | success | /data/data/com.termux/files/home/FileEncryptor/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc
2025-04-18 17:13:35.389133 | ENCRYPT | ../storage/downloads/encrypto-app/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv | chacha20 | error: encrypt() got an unexpected keyword argument 'progress_callback' | N/A
2025-04-18 17:18:39.139498 | ENCRYPT | ../storage/downloads/encrypto-app/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv | chacha20 | success | /data/data/com.termux/files/home/FileEncryptor/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc
2025-04-18 17:18:56.245802 | DECRYPT | Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc | chacha20 | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv
2025-04-18 17:19:23.177165 | ENCRYPT | ../storage/downloads/encrypto-app/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv | 3des | success | /data/data/com.termux/files/home/FileEncryptor/Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc
2025-04-18 17:19:41.654439 | DECRYPT | Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv.enc | 3des | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Ghosts.2021.S03E10.720p.x265.English.Esubs.MoviesMod.org.mkv
2025-04-18 17:21:33.569069 | ENCRYPT | Devraj_print.pdf | aes-gcm | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-18 17:21:47.159567 | DECRYPT | Devraj_print.pdf.enc | aes-gcm | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Devraj_print.pdf
